,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-46.43,-67.52,40.62,49,30,25.65,AR,1570959507
1,punta arenas,-53.16,-70.91,35.6,74,5,23.04,CL,1570959736
2,phangnga,8.45,98.53,91.4,66,20,9.17,TH,1570921995
3,meulaboh,4.14,96.13,80.96,79,100,10.61,ID,1570922433
4,albany,42.65,-73.75,51.01,81,40,5.82,US,1570964718
5,mocuba,-16.84,36.99,90.39,41,44,4.63,MZ,1570935926
6,cherskiy,68.75,161.3,31.77,71,99,7.48,RU,1570911025
7,mataura,-46.19,168.86,48.99,86,4,1.99,NZ,1570902867
8,hovd,63.83,10.7,44.01,93,75,10.29,NO,1570946339
9,busselton,-33.64,115.35,66.99,57,92,11.27,AU,1570916435
10,hoi an,15.88,108.33,87.8,52,20,4.7,VN,1570919885
11,richards bay,-28.77,32.06,68.49,84,86,28.39,ZA,1570936635
12,yaan,7.38,8.57,81.23,78,87,2.98,NG,1570943550
13,vangaindrano,-23.35,47.6,83.12,62,35,7.22,MG,1570933135
14,port alfred,-33.59,26.89,68.0,78,22,4.0,ZA,1570937649
15,carnarvon,-30.97,22.13,72.91,14,0,12.54,ZA,1570938916
16,takoradi,4.89,-1.75,77.97,85,100,4.79,GH,1570945947
17,codrington,-28.95,153.24,68.0,59,39,13.87,AU,1570907566
18,ribeira grande,38.52,-28.7,62.6,63,75,6.93,PT,1570953680
19,xining,36.62,101.77,53.53,42,97,13.83,CN,1570922256
20,kapaa,22.08,-159.32,80.6,74,1,16.11,US,1570897928
21,port keats,-14.25,129.55,85.28,54,95,12.19,AU,1570913814
22,macklin,52.34,-109.94,33.33,60,81,3.74,CA,1570974064
23,sawakin,19.1,37.33,95.0,50,0,3.36,SD,1570937037
24,ivanteyevka,55.97,37.92,50.0,81,75,15.66,RU,1570938849
25,hermanus,-34.42,19.24,75.0,79,37,17.0,ZA,1570939442
26,cabo san lucas,22.89,-109.91,79.0,82,100,5.99,MX,1570972519
27,paragominas,-3.0,-47.35,70.0,98,28,2.71,BR,1570956633
28,vryburg,-26.96,24.73,90.75,16,0,15.68,ZA,1570938471
29,tigil,57.8,158.67,32.29,88,100,15.25,RU,1570910006
30,vartej,21.74,72.06,92.73,34,0,11.94,IN,1570928793
31,ushuaia,-54.81,-68.31,35.6,98,75,20.8,AR,1570958940
32,dikson,73.51,80.55,30.72,98,100,20.01,RU,1570931870
33,ancud,-41.87,-73.83,41.0,86,75,6.93,CL,1570961335
34,hobart,-42.88,147.33,59.0,47,20,12.75,AU,1570908253
35,sotuta,20.6,-89.01,72.52,99,76,2.72,MX,1570967418
36,saint-pierre,48.95,4.24,64.99,82,48,16.11,FR,1570946375
37,atambua,-9.11,124.89,77.29,70,21,4.03,ID,1570915106
38,daru,-9.07,143.21,72.72,89,1,5.54,PG,1570910712
39,baculin,7.45,126.58,75.31,89,90,1.89,PH,1570915231
40,jamestown,-33.21,138.6,60.51,69,74,9.01,AU,1570910881
41,pevek,69.7,170.27,32.56,69,100,27.36,RU,1570909091
42,erzin,36.95,36.2,91.4,32,0,2.24,TR,1570938018
43,santa maria,-16.02,-48.01,66.2,59,69,3.36,BR,1570956346
44,ouadda,8.07,22.4,84.07,62,92,0.98,CF,1570940253
45,tiksi,71.64,128.87,17.53,88,100,7.01,RU,1570919590
46,cape town,-33.93,18.42,75.0,49,20,5.82,ZA,1570939663
47,baoding,38.86,115.49,49.64,66,100,13.68,CN,1570919068
48,qandala,11.47,49.87,84.76,59,27,12.32,SO,1570933771
49,padang,-0.92,100.36,73.85,92,100,3.72,ID,1570921257
50,burgeo,47.61,-57.61,52.7,100,100,6.77,CA,1570961143
51,okhotsk,59.36,143.24,22.53,70,100,10.44,RU,1570913883
52,gurupi,-11.73,-49.07,77.41,59,34,2.18,BR,1570956753
53,namatanai,-3.66,152.44,84.69,71,98,10.59,PG,1570908674
54,tura,64.27,100.22,28.96,70,100,6.36,RU,1570924878
55,barrow,-38.31,-60.23,43.03,89,2,7.81,AR,1570958288
56,kieta,-6.22,155.63,83.86,74,100,10.57,PG,1570907826
57,karratha,-20.74,116.85,76.95,67,0,24.31,AU,1570916626
58,wanning,48.64,13.53,69.01,100,40,3.36,AT,1570944122
59,maloy,1.0,118.1,82.62,73,71,3.66,ID,1570917062
60,vaini,15.34,74.49,86.0,66,40,5.82,IN,1570927989
61,mitu,36.2,46.09,64.4,43,22,13.07,IR,1570935608
